Read_Length	Read_Numbers	Flowcell_ID	Platform
14400	83796	TEMPHIFI	PacBio
14500	82776	TEMPHIFI	PacBio
14600	80736	TEMPHIFI	PacBio
14700	79047	TEMPHIFI	PacBio
14800	77722	TEMPHIFI	PacBio
14900	76431	TEMPHIFI	PacBio
15000	73805	TEMPHIFI	PacBio
15100	72465	TEMPHIFI	PacBio
15200	70717	TEMPHIFI	PacBio
15300	69181	TEMPHIFI	PacBio
15400	66973	TEMPHIFI	PacBio
15500	65420	TEMPHIFI	PacBio
15600	63881	TEMPHIFI	PacBio
15700	62552	TEMPHIFI	PacBio
15800	60291	TEMPHIFI	PacBio
15900	59156	TEMPHIFI	PacBio
16000	56916	TEMPHIFI	PacBio
16100	55096	TEMPHIFI	PacBio
16200	54017	TEMPHIFI	PacBio
16300	52063	TEMPHIFI	PacBio
16400	50703	TEMPHIFI	PacBio
16500	49249	TEMPHIFI	PacBio
16600	48164	TEMPHIFI	PacBio
16700	46770	TEMPHIFI	PacBio
16800	44576	TEMPHIFI	PacBio
16900	44006	TEMPHIFI	PacBio
17000	42491	TEMPHIFI	PacBio
17100	41126	TEMPHIFI	PacBio
17200	39780	TEMPHIFI	PacBio
17300	38365	TEMPHIFI	PacBio
17400	37034	TEMPHIFI	PacBio
17500	35683	TEMPHIFI	PacBio
17600	34688	TEMPHIFI	PacBio
17700	33309	TEMPHIFI	PacBio
17800	32199	TEMPHIFI	PacBio
17900	31162	TEMPHIFI	PacBio
18000	29578	TEMPHIFI	PacBio
18100	28680	TEMPHIFI	PacBio
18200	27717	TEMPHIFI	PacBio
18300	26368	TEMPHIFI	PacBio
18400	25833	TEMPHIFI	PacBio
18500	24639	TEMPHIFI	PacBio
18600	23282	TEMPHIFI	PacBio
18700	22382	TEMPHIFI	PacBio
18800	21176	TEMPHIFI	PacBio
18900	20214	TEMPHIFI	PacBio
19000	19565	TEMPHIFI	PacBio
19100	18426	TEMPHIFI	PacBio
19200	17662	TEMPHIFI	PacBio
19300	16933	TEMPHIFI	PacBio
19400	15849	TEMPHIFI	PacBio
19500	15307	TEMPHIFI	PacBio
19600	14361	TEMPHIFI	PacBio
19700	13404	TEMPHIFI	PacBio
19800	12676	TEMPHIFI	PacBio
19900	12005	TEMPHIFI	PacBio
20000	11334	TEMPHIFI	PacBio
20100	10614	TEMPHIFI	PacBio
20200	9906	TEMPHIFI	PacBio
20300	9171	TEMPHIFI	PacBio
20400	8486	TEMPHIFI	PacBio
20500	8043	TEMPHIFI	PacBio
20600	7337	TEMPHIFI	PacBio
20700	6700	TEMPHIFI	PacBio
20800	6214	TEMPHIFI	PacBio
20900	5877	TEMPHIFI	PacBio
21000	5386	TEMPHIFI	PacBio
21100	4880	TEMPHIFI	PacBio
21200	4320	TEMPHIFI	PacBio
21300	4100	TEMPHIFI	PacBio
21400	3624	TEMPHIFI	PacBio
21500	3384	TEMPHIFI	PacBio
21600	3179	TEMPHIFI	PacBio
21700	2823	TEMPHIFI	PacBio
21800	2513	TEMPHIFI	PacBio
21900	2235	TEMPHIFI	PacBio
22000	2091	TEMPHIFI	PacBio
22100	1897	TEMPHIFI	PacBio
22200	1631	TEMPHIFI	PacBio
22300	1425	TEMPHIFI	PacBio
22400	1296	TEMPHIFI	PacBio
22500	1095	TEMPHIFI	PacBio
22600	984	TEMPHIFI	PacBio
22700	884	TEMPHIFI	PacBio
22800	784	TEMPHIFI	PacBio
22900	663	TEMPHIFI	PacBio
23000	613	TEMPHIFI	PacBio
23100	553	TEMPHIFI	PacBio
23200	473	TEMPHIFI	PacBio
23300	448	TEMPHIFI	PacBio
23400	369	TEMPHIFI	PacBio
23500	312	TEMPHIFI	PacBio
23600	315	TEMPHIFI	PacBio
23700	243	TEMPHIFI	PacBio
23800	253	TEMPHIFI	PacBio
23900	220	TEMPHIFI	PacBio
24000	183	TEMPHIFI	PacBio
24100	197	TEMPHIFI	PacBio
24200	182	TEMPHIFI	PacBio
24300	152	TEMPHIFI	PacBio
24400	137	TEMPHIFI	PacBio
24500	134	TEMPHIFI	PacBio
24600	124	TEMPHIFI	PacBio
24700	100	TEMPHIFI	PacBio
24800	96	TEMPHIFI	PacBio
24900	95	TEMPHIFI	PacBio
25000	101	TEMPHIFI	PacBio
25100	77	TEMPHIFI	PacBio
25200	92	TEMPHIFI	PacBio
25300	76	TEMPHIFI	PacBio
25400	62	TEMPHIFI	PacBio
25500	71	TEMPHIFI	PacBio
25600	64	TEMPHIFI	PacBio
25700	59	TEMPHIFI	PacBio
25800	68	TEMPHIFI	PacBio
25900	62	TEMPHIFI	PacBio
26000	67	TEMPHIFI	PacBio
26100	57	TEMPHIFI	PacBio
26200	67	TEMPHIFI	PacBio
26300	44	TEMPHIFI	PacBio
26400	68	TEMPHIFI	PacBio
26500	56	TEMPHIFI	PacBio
26600	71	TEMPHIFI	PacBio
26700	62	TEMPHIFI	PacBio
26800	62	TEMPHIFI	PacBio
26900	55	TEMPHIFI	PacBio
27000	51	TEMPHIFI	PacBio
27100	32	TEMPHIFI	PacBio
27200	37	TEMPHIFI	PacBio
27300	40	TEMPHIFI	PacBio
27400	44	TEMPHIFI	PacBio
27500	41	TEMPHIFI	PacBio
27600	47	TEMPHIFI	PacBio
27700	44	TEMPHIFI	PacBio
27800	45	TEMPHIFI	PacBio
27900	44	TEMPHIFI	PacBio
28000	33	TEMPHIFI	PacBio
28100	54	TEMPHIFI	PacBio
28200	42	TEMPHIFI	PacBio
28300	39	TEMPHIFI	PacBio
28400	31	TEMPHIFI	PacBio
28500	34	TEMPHIFI	PacBio
28600	36	TEMPHIFI	PacBio
28700	34	TEMPHIFI	PacBio
28800	32	TEMPHIFI	PacBio
28900	25	TEMPHIFI	PacBio
29000	28	TEMPHIFI	PacBio
29100	32	TEMPHIFI	PacBio
29200	32	TEMPHIFI	PacBio
29300	31	TEMPHIFI	PacBio
29400	19	TEMPHIFI	PacBio
29500	26	TEMPHIFI	PacBio
29600	26	TEMPHIFI	PacBio
29700	22	TEMPHIFI	PacBio
29800	24	TEMPHIFI	PacBio
29900	24	TEMPHIFI	PacBio
30000	19	TEMPHIFI	PacBio
30100	20	TEMPHIFI	PacBio
30200	21	TEMPHIFI	PacBio
30300	21	TEMPHIFI	PacBio
30400	22	TEMPHIFI	PacBio
30500	20	TEMPHIFI	PacBio
30600	22	TEMPHIFI	PacBio
30700	15	TEMPHIFI	PacBio
30800	22	TEMPHIFI	PacBio
30900	19	TEMPHIFI	PacBio
31000	10	TEMPHIFI	PacBio
31100	10	TEMPHIFI	PacBio
31200	8	TEMPHIFI	PacBio
31300	13	TEMPHIFI	PacBio
31400	9	TEMPHIFI	PacBio
31500	15	TEMPHIFI	PacBio
31600	12	TEMPHIFI	PacBio
31700	11	TEMPHIFI	PacBio
31800	17	TEMPHIFI	PacBio
31900	14	TEMPHIFI	PacBio
32000	16	TEMPHIFI	PacBio
32100	10	TEMPHIFI	PacBio
32200	13	TEMPHIFI	PacBio
32300	9	TEMPHIFI	PacBio
32400	11	TEMPHIFI	PacBio
32500	7	TEMPHIFI	PacBio
32600	12	TEMPHIFI	PacBio
32700	13	TEMPHIFI	PacBio
32800	15	TEMPHIFI	PacBio
32900	6	TEMPHIFI	PacBio
33000	6	TEMPHIFI	PacBio
33100	8	TEMPHIFI	PacBio
33200	8	TEMPHIFI	PacBio
33300	10	TEMPHIFI	PacBio
33400	5	TEMPHIFI	PacBio
33500	7	TEMPHIFI	PacBio
33600	6	TEMPHIFI	PacBio
33700	7	TEMPHIFI	PacBio
33800	4	TEMPHIFI	PacBio
33900	6	TEMPHIFI	PacBio
34000	8	TEMPHIFI	PacBio
34100	7	TEMPHIFI	PacBio
34200	8	TEMPHIFI	PacBio
34300	2	TEMPHIFI	PacBio
34400	4	TEMPHIFI	PacBio
34500	5	TEMPHIFI	PacBio
34600	9	TEMPHIFI	PacBio
34700	1	TEMPHIFI	PacBio
34800	4	TEMPHIFI	PacBio
34900	5	TEMPHIFI	PacBio
35000	2	TEMPHIFI	PacBio
35100	2	TEMPHIFI	PacBio
35200	1	TEMPHIFI	PacBio
35300	5	TEMPHIFI	PacBio
35400	3	TEMPHIFI	PacBio
35500	3	TEMPHIFI	PacBio
35700	3	TEMPHIFI	PacBio
35800	2	TEMPHIFI	PacBio
35900	3	TEMPHIFI	PacBio
36000	2	TEMPHIFI	PacBio
