Read_Length,QV,Read_Numbers
1600,21,12690
1600,22,12718
1600,23,10514
1600,24,7259
1600,25,3968
1600,26,1616
1600,27,485
1600,28,128
1600,29,30
1600,30,9
1600,31,3
1700,9,4
1700,10,47
1700,11,937
1700,12,2178
1700,13,2816
1700,14,3607
1700,15,4595
1700,16,5657
1700,17,6357
1700,18,7706
1700,19,9273
1700,20,11231
1700,21,12316
1700,22,12483
1700,23,10454
1700,24,7331
1700,25,3903
1700,26,1589
1700,27,506
1700,28,106
1700,29,27
1700,30,11
1800,9,2
1800,10,51
1800,11,917
1800,12,2082
1800,13,2855
1800,14,3485
1800,15,4400
1800,16,5321
1800,17,6408
1800,18,7614
1800,19,9156
1800,20,10912
1800,21,12352
1800,22,12452
1800,23,10474
1800,24,7126
1800,25,3814
1800,26,1584
1800,27,505
1800,28,129
1800,29,27
1800,30,4
1800,31,1
1900,9,3
1900,10,47
1900,11,912
1900,12,2057
1900,13,2763
1900,14,3529
1900,15,4399
1900,16,5254
1900,17,6210
1900,18,7422
1900,19,9097
1900,20,10641
1900,21,12040
1900,22,12330
1900,23,10394
1900,24,7291
1900,25,3886
1900,26,1600
1900,27,514
1900,28,106
1900,29,22
1900,30,4
1900,31,2
2000,9,6
2000,10,59
2000,11,850
2000,12,1961
2000,13,2705
2000,14,3483
2000,15,4254
2000,16,5278
2000,17,6272
2000,18,7255
2000,19,8948
2000,20,10730
2000,21,11985
2000,22,12105
2000,23,10238
2000,24,7147
2000,25,3780
2000,26,1630
2000,27,538
2000,28,122
2000,29,32
2000,30,4
2000,31,2
2100,9,10
2100,10,43
2100,11,832
2100,12,1922
2100,13,2655
2100,14,3453
2100,15,4255
2100,16,5142
2100,17,6127
2100,18,7273
2100,19,8555
2100,20,10448
2100,21,11731
2100,22,11818
2100,23,10208
2100,24,6982
2100,25,3869
2100,26,1569
2100,27,491
2100,28,108
2100,29,20
2100,30,8
2100,31,3
2200,9,4
2200,10,40
2200,11,755
2200,12,1985
2200,13,2645
2200,14,3267
2200,15,4088
2200,16,4950
2200,17,6003
2200,18,7042
2200,19,8480
2200,20,10347
2200,21,11480
2200,22,11999
2200,23,10142
2200,24,7135
2200,25,3953
2200,26,1675
2200,27,505
2200,28,133
2200,29,35
2200,30,6
2200,31,1
2200,32,1
2300,9,7
2300,10,39
2300,11,853
2300,12,1790
2300,13,2468
2300,14,3132
2300,15,4053
2300,16,4914
2300,17,5837
2300,18,6756
2300,19,8317
2300,20,9843
2300,21,11285
2300,22,11595
2300,23,9928
2300,24,7131
2300,25,3803
2300,26,1578
2300,27,500
2300,28,115
2300,29,29
2300,30,4
2400,9,5
2400,10,30
2400,11,745
2400,12,1858
2400,13,2499
2400,14,3058
2400,15,3909
2400,16,4812
2400,17,5636
2400,18,6720
2400,19,8181
2400,20,9463
2400,21,10981
2400,22,11413
2400,23,9952
2400,24,6765
2400,25,3649
2400,26,1628
2400,27,501
2400,28,100
2400,29,24
2400,30,9
2400,31,1
2500,9,3
2500,10,36
2500,11,738
2500,12,1706
2500,13,2315
2500,14,2944
2500,15,3693
2500,16,4575
2500,17,5447
2500,18,6499
2500,19,7815
2500,20,9205
2500,21,10661
2500,22,11193
2500,23,9750
2500,24,6748
2500,25,3641
2500,26,1585
2500,27,500
2500,28,87
2500,29,25
2500,30,6
2500,31,3
2600,9,5
2600,10,33
2600,11,756
2600,12,1681
2600,13,2268
2600,14,2840
2600,15,3624
2600,16,4453
2600,17,5381
2600,18,6130
2600,19,7764
2600,20,9083
2600,21,10424
2600,22,10793
2600,23,9488
2600,24,6459
2600,25,3596
2600,26,1466
2600,27,510
2600,28,91
2600,29,18
2600,30,4
2600,31,1
2700,9,6
2700,10,23
2700,11,677
2700,12,1580
2700,13,2152
2700,14,2781
2700,15,3604
2700,16,4266
2700,17,5167
2700,18,5979
2700,19,7338
2700,20,8699
2700,21,9922
2700,22,10355
2700,23,8965
2700,24,6233
2700,25,3636
2700,26,1445
2700,27,429
2700,28,112
2700,29,12
2700,30,4
2800,9,3
2800,10,23
2800,11,694
2800,12,1521
2800,13,2106
2800,14,2677
2800,15,3446
2800,16,4254
2800,17,4905
2800,18,5937
2800,19,7123
2800,20,8574
2800,21,9635
2800,22,10152
2800,23,8840
2800,24,6068
2800,25,3440
2800,26,1443
2800,27,418
2800,28,96
2800,29,19
2800,30,4
2800,31,1
2900,9,3
2900,10,32
2900,11,659
2900,12,1495
2900,13,2057
2900,14,2645
2900,15,3338
2900,16,4032
2900,17,4847
2900,18,5658
2900,19,6738
2900,20,8202
2900,21,9430
2900,22,9725
2900,23,8503
2900,24,6069
2900,25,3145
2900,26,1359
2900,27,431
2900,28,105
2900,29,22
2900,30,7
2900,31,2
2900,32,1
3000,9,2
3000,10,25
3000,11,614
3000,12,1491
3000,13,1976
3000,14,2549
3000,15,3229
3000,16,3952
3000,17,4625
3000,18,5499
3000,19,6493
3000,20,8053
3000,21,9063
3000,22,9319
3000,23,7993
3000,24,5594
3000,25,3277
3000,26,1297
3000,27,372
3000,28,82
3000,29,21
3000,30,4
3000,31,2
3000,32,2
3100,9,3
3100,10,21
3100,11,609
3100,12,1395
3100,13,1877
3100,14,2529
3100,15,3111
3100,16,3807
3100,17,4530
3100,18,5193
3100,19,6216
3100,20,7690
3100,21,8716
3100,22,9043
3100,23,7942
3100,24,5519
3100,25,3078
3100,26,1271
3100,27,439
3100,28,98
3100,29,23
3100,30,7
3100,31,4
3100,33,1
3200,10,19
3200,11,579
3200,12,1321
3200,13,1793
3200,14,2415
3200,15,3038
3200,16,3623
3200,17,4288
3200,18,4907
3200,19,6152
3200,20,7254
3200,21,8491
3200,22,8634
3200,23,7703
3200,24,5358
3200,25,2910
3200,26,1233
3200,27,359
3200,28,88
3200,29,13
3200,30,5
3200,31,2
3200,32,1
3300,9,3
3300,10,20
3300,11,561
3300,12,1380
3300,13,1792
3300,14,2283
3300,15,2923
3300,16,3641
3300,17,4108
3300,18,4790
3300,19,6040
3300,20,7115
3300,21,8312
3300,22,8310
3300,23,7391
3300,24,5324
3300,25,2854
3300,26,1174
3300,27,355
3300,28,70
3300,29,18
3300,32,1
3400,9,1
3400,10,26
3400,11,526
3400,12,1292
3400,13,1694
3400,14,2257
3400,15,2778
3400,16,3425
3400,17,3998
3400,18,4723
3400,19,5583
3400,20,6747
3400,21,7903
3400,22,8211
3400,23,7248
3400,24,5140
3400,25,2748
3400,26,1112
3400,27,321
3400,28,80
3400,29,13
3400,30,4
3400,31,3
3500,9,2
3500,10,22
3500,11,522
3500,12,1205
3500,13,1658
3500,14,2211
3500,15,2742
3500,16,3379
3500,17,4004
3500,18,4601
3500,19,5576
3500,20,6595
3500,21,7506
3500,22,7977
3500,23,7069
3500,24,4989
3500,25,2795
3500,26,1021
3500,27,319
3500,28,63
3500,29,11
3500,30,1
3600,9,2
3600,10,16
3600,11,475
3600,12,1190
3600,13,1542
3600,14,2094
3600,15,2723
3600,16,3304
3600,17,3646
3600,18,4418
3600,19,5294
3600,20,6290
3600,21,7139
3600,22,7583
3600,23,6551
3600,24,4679
3600,25,2543
3600,26,1045
3600,27,290
3600,28,73
3600,29,9
3600,30,2
3700,9,3
3700,10,17
3700,11,441
3700,12,1155
3700,13,1591
3700,14,1943
3700,15,2476
3700,16,3227
3700,17,3660
3700,18,4251
3700,19,5122
3700,20,6252
3700,21,7017
3700,22,7351
3700,23,6430
3700,24,4576
3700,25,2435
3700,26,1083
3700,27,289
3700,28,69
3700,29,7
3700,30,4
3800,9,2
3800,10,20
3800,11,465
3800,12,1087
3800,13,1476
3800,14,1976
3800,15,2481
3800,16,3063
3800,17,3579
3800,18,4135
3800,19,5011
3800,20,6001
3800,21,6753
3800,22,7171
3800,23,6232
3800,24,4375
3800,25,2335
3800,26,979
3800,27,289
3800,28,49
3800,29,14
3800,30,1
3800,31,1
3900,9,5
3900,10,17
3900,11,451
3900,12,1053
3900,13,1434
3900,14,1989
3900,15,2511
3900,16,3041
3900,17,3551
3900,18,3952
3900,19,4824
3900,20,5744
3900,21,6608
3900,22,6934
3900,23,6178
3900,24,4161
3900,25,2347
3900,26,939
3900,27,294
3900,28,53
3900,29,8
3900,30,5
3900,31,2
4000,9,4
4000,10,11
4000,11,432
4000,12,974
4000,13,1423
4000,14,1902
4000,15,2298
4000,16,2921
4000,17,3414
4000,18,3835
4000,19,4493
4000,20,5520
4000,21,6257
4000,22,6851
4000,23,5869
4000,24,4165
4000,25,2143
4000,26,877
4000,27,261
4000,28,68
4000,29,9
4000,30,2
4000,31,1
4100,9,1
4100,10,10
4100,11,447
4100,12,1006
4100,13,1453
4100,14,1862
4100,15,2328
4100,16,2861
4100,17,3242
4100,18,3664
4100,19,4509
4100,20,5459
4100,21,6277
4100,22,6563
4100,23,5626
4100,24,3968
4100,25,2133
4100,26,863
4100,27,231
4100,28,45
4100,29,7
4100,30,1
4100,32,1
4200,10,9
4200,11,433
4200,12,990
4200,13,1337
4200,14,1761
4200,15,2237
4200,16,2796
4200,17,3130
4200,18,3786
4200,19,4388
4200,20,5369
4200,21,6108
4200,22,6381
4200,23,5511
4200,24,3879
4200,25,2074
4200,26,866
4200,27,224
4200,28,48
4200,29,11
4200,30,2
4200,34,1
4300,9,3
4300,10,20
4300,11,429
4300,12,968
4300,13,1322
4300,14,1719
4300,15,2134
4300,16,2688
4300,17,3122
4300,18,3449
4300,19,4301
4300,20,5268
4300,21,5909
4300,22,6203
4300,23,5363
4300,24,3786
4300,25,1980
4300,26,818
4300,27,226
4300,28,40
4300,29,9
4300,30,2
4400,9,5
4400,10,16
4400,11,374
4400,12,979
4400,13,1273
4400,14,1629
4400,15,2135
4400,16,2729
4400,17,2977
4400,18,3446
4400,19,4184
4400,20,5052
4400,21,5786
4400,22,5941
4400,23,5265
4400,24,3628
4400,25,1921
4400,26,800
4400,27,223
4400,28,33
4400,29,7
4400,30,1
4400,31,1
4500,9,4
4500,10,10
4500,11,363
4500,12,952
4500,13,1207
4500,14,1625
4500,15,2100
4500,16,2568
4500,17,2958
4500,18,3332
4500,19,4130
4500,20,4780
4500,21,5655
4500,22,5624
4500,23,5103
4500,24,3526
4500,25,1909
4500,26,721
4500,27,215
4500,28,43
4500,29,6
4500,30,2
4600,9,2
4600,10,14
4600,11,333
4600,12,889
4600,13,1227
4600,14,1658
4600,15,2006
4600,16,2490
4600,17,2884
4600,18,3288
4600,19,3970
4600,20,4666
4600,21,5455
4600,22,5610
4600,23,4940
4600,24,3360
4600,25,1832
4600,26,737
4600,27,226
4600,28,41
4600,29,7
4600,30,2
4700,9,3
4700,10,17
4700,11,332
4700,12,864
4700,13,1197
4700,14,1574
4700,15,1981
4700,16,2358
4700,17,2769
4700,18,3133
4700,19,3826
4700,20,4578
4700,21,5416
4700,22,5569
4700,23,4875
4700,24,3294
4700,25,1800
4700,26,734
4700,27,219
4700,28,37
4700,29,5
4700,30,4
4800,9,4
4800,10,15
4800,11,333
4800,12,843
4800,13,1210
4800,14,1508
4800,15,1980
4800,16,2316
4800,17,2688
4800,18,3105
4800,19,3650
4800,20,4492
4800,21,5066
4800,22,5250
4800,23,4758
4800,24,3182
4800,25,1794
4800,26,653
4800,27,170
4800,28,41
4800,29,9
4800,30,3
4900,9,3
4900,10,18
4900,11,343
4900,12,853
4900,13,1147
4900,14,1495
4900,15,1802
4900,16,2171
4900,17,2705
4900,18,2971
4900,19,3675
4900,20,4305
4900,21,5092
4900,22,5136
4900,23,4568
4900,24,3101
4900,25,1689
4900,26,635
4900,27,199
4900,28,42
4900,29,6
4900,32,1
4900,33,1
5000,10,9
5000,11,320
5000,12,794
5000,13,1096
5000,14,1439
5000,15,1873
5000,16,2317
5000,17,2430
5000,18,2940
5000,19,3572
5000,20,4285
5000,21,5035
5000,22,5081
5000,23,4491
5000,24,3001
5000,25,1586
5000,26,647
5000,27,165
5000,28,36
5000,29,7
5000,30,1
5100,9,3
5100,10,5
5100,11,271
5100,12,703
5100,13,1068
5100,14,1360
5100,15,1697
5100,16,2147
5100,17,2532
5100,18,2900
5100,19,3459
5100,20,4249
5100,21,4847
5100,22,4894
5100,23,4373
5100,24,3050
5100,25,1599
5100,26,587
5100,27,162
5100,28,49
5100,29,2
5100,30,2
5200,9,2
5200,10,7
5200,11,292
5200,12,727
5200,13,1009
5200,14,1367
5200,15,1653
5200,16,2066
5200,17,2434
5200,18,2825
5200,19,3396
5200,20,4093
5200,21,4787
5200,22,4777
5200,23,4263
5200,24,2938
5200,25,1468
5200,26,602
5200,27,172
5200,28,34
5200,29,4
5200,30,2
5200,31,1
5300,9,2
5300,10,9
5300,11,296
5300,12,694
5300,13,997
5300,14,1267
